"","sample_id","project","cell_specimen_id","cell_specimen_name","hemisphere","structure","donor_id","donor_name","biological_sex","age","full_genotype","dendrite_type","apical_dendrite_status","neuron_reconstruction_type","cell_soma_normalized_depth","ephys_session_id","transcriptomics_batch","corresponding_AIT2.3.1_ID","corresponding_AIT2.3.1_alias","major_type","contam_type","quality_score","Microglia","cluster_label"
"SM-GE93B_S095_E1-50","SM-GE93B_S095_E1-50","mIVSCC-MET",689017383,"Sst-IRES-Cre;Ai14-386476.03.01.02","left","VISp5",386476,"Sst-IRES-Cre;Ai14-386476","F","P51","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,689016966,"RSC-155","CS180626100049","Sst Rxfp1","GABAergic","Sst_on",0.445618836571043,0.0175122468061134,"Sst"
"SM-GE93B_S096_E1-50","SM-GE93B_S096_E1-50","mIVSCC-MET",689098357,"Sst-IRES-Cre;Ai14-386476.03.01.03","left","VISp5",386476,"Sst-IRES-Cre;Ai14-386476","F","P51","Sst-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"full",0.501957264459531,689096830,"RSC-155","CS180626100043","Sst Hpse","GABAergic","Sst_on",0.352396931440704,0.211411470208612,"Sst"
"SM-GE93J_S001_E1-50","SM-GE93J_S001_E1-50","mIVSCC-MET",675772724,"Htr3a-Cre_NO152;Ai14-381048.05.02.01","right","VISp4",381048,"Htr3a-Cre_NO152;Ai14-381048","F","P50","Htr3a-Cre_NO152/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,675772576,"RSC-152","CS180626100058","Pvalb Reln","GABAergic","Pvalb_on",0.405541690275674,0.0292113595161602,"Pvalb"
"SM-GE93J_S013_E1-50","SM-GE93J_S013_E1-50","mIVSCC-MET",676732261,"Vip-IRES-Cre;Ai14-381886.04.01.01","left","VISp5",381886,"Vip-IRES-Cre;Ai14-381886","M","P49","Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,676731963,"RSC-152","CS180626100016","Vip Igfbp4","GABAergic","Vip_on",0.318124394791906,0.0296465407964526,"Vip"
"SM-GE93J_S014_E1-50","SM-GE93J_S014_E1-50","mIVSCC-MET",676767745,"Vip-IRES-Cre;Ai14-381886.04.01.02","left","VISp2/3",381886,"Vip-IRES-Cre;Ai14-381886","M","P49","Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,676767571,"RSC-152","CS180626100021","Vip Ptprt","GABAergic","Vip_on",0.430599443928939,0.00541850295644081,"Vip"
"SM-GE93J_S017_E1-50","SM-GE93J_S017_E1-50","mIVSCC-MET",677042504,"Ndnf-IRES2-dgCre;Slc32a1-IRES2-FlpO;Ai65-381810.04.01.02","left","VISp1",381810,"Ndnf-IRES2-dgCre;Slc32a1-IRES2-FlpO;Ai65-381810","F","P58","Ndnf-IRES2-dgCre/wt;Slc32a1-IRES2-FlpO/wt;Ai65(RCFL-tdT)/wt","aspiny",NA,"",NA,677042422,"RSC-152","CS180626100006","Lamp5 Lsp1","GABAergic","Lamp5_on",0.459883872486629,0.04893514661533,"Lamp5"
"SM-GE93J_S019_E1-50","SM-GE93J_S019_E1-50","mIVSCC-MET",676931078,"Gad2-IRES-Cre;Ai14-380655.03.02.02","right","VISp5",380655,"Gad2-IRES-Cre;Ai14-380655","F","P56","Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,676930810,"RSC-152","CS180626100041","Sst Tac2","GABAergic","Sst_on",0.383287006558906,0.0769084386212154,"Sst"
"SM-GE93J_S023_E1-50","SM-GE93J_S023_E1-50","mIVSCC-MET",676757248,"Gad2-IRES-Cre;Ai14-380655.02.02.02","right","VISp2/3",380655,"Gad2-IRES-Cre;Ai14-380655","F","P56","Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,676757078,"RSC-152","CS180626100006","Lamp5 Lsp1","GABAergic","Lamp5_on",0.27107539283604,0.45693601663836,"Lamp5"
"SM-GE93J_S024_E1-50","SM-GE93J_S024_E1-50","mIVSCC-MET",676789476,"Gad2-IRES-Cre;Ai14-380655.02.02.03","right","VISp6a",380655,"Gad2-IRES-Cre;Ai14-380655","F","P56","Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,676789291,"RSC-152","CS180626100043","Sst Hpse","GABAergic","Sst_on",0.455007333592909,0.127815440898561,"Sst"
"SM-GE93J_S030_E1-50","SM-GE93J_S030_E1-50","mIVSCC-MET",676685241,"Vip-IRES-Cre;Ai14-381886.03.01.01","left","VISp2/3",381886,"Vip-IRES-Cre;Ai14-381886","M","P49","Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,676685040,"RSC-152","CS180626100020","Vip Lmo1","GABAergic","Vip_on",0.480632837692851,0.0150592743533521,"Vip"
"SM-GE93J_S047_E1-50","SM-GE93J_S047_E1-50","mIVSCC-MET",676768413,"Vip-IRES-Cre;Ai14-381886.03.02.01","right","VISp1",381886,"Vip-IRES-Cre;Ai14-381886","M","P49","Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,676767955,"RSC-152","CS180626100029","Vip Col15a1","GABAergic","Vip_on",0.448316199466027,0.0695281167982498,"Vip"
"SM-GE93J_S048_E1-50","SM-GE93J_S048_E1-50","mIVSCC-MET",676890033,"Gad2-IRES-Cre;Ai14-380655.04.02.01","right","VISp5",380655,"Gad2-IRES-Cre;Ai14-380655","F","P56","Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,676889612,"RSC-152","CS180626100057","Pvalb Reln","GABAergic","Pvalb_on",0.545391217976371,0.0513232232991631,"Pvalb"
"SM-GE93J_S049_E1-50","SM-GE93J_S049_E1-50","mIVSCC-MET",677042379,"Ndnf-IRES2-dgCre;Slc32a1-IRES2-FlpO;Ai65-381810.03.01.01","left","VISp1",381810,"Ndnf-IRES2-dgCre;Slc32a1-IRES2-FlpO;Ai65-381810","F","P58","Ndnf-IRES2-dgCre/wt;Slc32a1-IRES2-FlpO/wt;Ai65(RCFL-tdT)/wt","aspiny",NA,"",NA,677042105,"RSC-152","CS180626100006","Lamp5 Lsp1","GABAergic","Lamp5_on",0.187548725230422,0.954901952574107,"Lamp5"
"SM-GE93J_S050_E1-50","SM-GE93J_S050_E1-50","mIVSCC-MET",677077832,"Gad2-IRES-Cre;Ai14-380655.01.02.01","right","VISp5",380655,"Gad2-IRES-Cre;Ai14-380655","F","P56","Gad2-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,677077532,"RSC-152","CS180626100042","Sst Hpse","GABAergic","Sst_on",0.508902512400096,0.0195766360471344,"Sst"
"SM-GE93J_S051_E1-50","SM-GE93J_S051_E1-50","mIVSCC-MET",678641945,"Vip-IRES-Cre;Ai14-382260.02.02.01","right","VISp5",382260,"Vip-IRES-Cre;Ai14-382260","M","P50","Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,678641697,"RSC-152","CS180626100025","Vip Chat","GABAergic","Vip_on",0.466460996772987,0.0538393447623026,"Vip"
"SM-GE93J_S054_E1-50","SM-GE93J_S054_E1-50","mIVSCC-MET",678519215,"Vip-IRES-Cre;Ai14-381891.03.02.01","right","VISp2/3",381891,"Vip-IRES-Cre;Ai14-381891","F","P52","Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,678518949,"RSC-152","CS180626100021","Vip Ptprt","GABAergic","Vip_on",0.283291011614011,0.319279416543129,"Vip"
"SM-GE93J_S058_E1-50","SM-GE93J_S058_E1-50","mIVSCC-MET",678708195,"Vip-IRES-Cre;Ai14-382260.04.01.04","left","VISpm2/3",382260,"Vip-IRES-Cre;Ai14-382260","M","P50","Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,678708179,"RSC-152","CS180626100020","Vip Lmo1","GABAergic","Vip_on",0.346905807591809,0.607653564635995,"Vip"
"SM-GE93J_S059_E1-50","SM-GE93J_S059_E1-50","mIVSCC-MET",678411851,"Vip-IRES-Cre;Ai14-381891.04.02.01","right","VISp4",381891,"Vip-IRES-Cre;Ai14-381891","F","P52","Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,678411671,"RSC-152","CS180626100026","Vip Pygm","GABAergic","Vip_on",0.33516442490126,0.27018177159901,"Vip"
"SM-GE93J_S062_E1-50","SM-GE93J_S062_E1-50","mIVSCC-MET",678632250,"Vip-IRES-Cre;Ai14-382260.03.02.01","right","VISp2/3",382260,"Vip-IRES-Cre;Ai14-382260","M","P50","Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,678632056,"RSC-152","CS180626100028","Vip Crispld2","GABAergic","Vip_on",0.403141543524115,0.0771145749014351,"Vip"
"SM-GE93J_S063_E1-50","SM-GE93J_S063_E1-50","mIVSCC-MET",678656656,"Vip-IRES-Cre;Ai14-382260.03.02.02","right","VISp2/3",382260,"Vip-IRES-Cre;Ai14-382260","M","P50","Vip-IRES-Cre/wt;Ai14(RCL-tdT)/wt","aspiny",NA,"",NA,678656543,"RSC-152","CS180626100023","Vip Lect1","GABAergic","Vip_on",0.365117279282126,0.441463314264229,"Vip"
